tweet_id	label
1256007275807997953	0
1257909427677601792	0
1281580572415066112	0
1271348112733470720	0
1270421287148695556	0
1266846025576218626	0
1276842713858502663	0
1270064252234215424	0
1252741192577581056	1
1260266403409670144	1
1276100229226541059	0
1282857029455970309	0
1255157229168340993	0
1286573183315906560	0
1260244131164622849	0
1280061604080607233	0
1265194535598112768	0
1256473507157999616	1
1251254299029618690	1
1260647157549264896	1
1242704294467559430	0
1250507352350117888	0
1284809129471676416	0
1250391115208982528	1
1274793643250003968	0
1291526149613522944	0
1247261732906635265	1
1269674365202903040	0
1273248726455398400	0
1249619057088892933	0
1247854501568172032	0
1275423796304936960	0
1262282832799506434	0
1272165619752894466	0
1277208895958716416	0
1267886360301572096	0
1251525011740995584	0
1253246664556654592	0
1265551847659618311	0
1278786926858960896	0
1250899251212750850	0
1254374505650237441	0
1251885738867785728	0
1281554606892503041	0
1247071533916475392	0
1249863551600267264	1
1261880714783453184	0
1268446467204710405	1
1291362193846542340	0
1249842048041132032	0
1243619185084768259	0
1269561578896207872	1
1278628396415754240	0
1264885356626948097	1
1246759619873198080	1
1287877629022896128	0
1253644947984703488	1
1282640185310806017	1
1288507478444060673	0
1263401267877031936	0
1270101995697967104	1
1264078228903395328	0
1269630296556781568	0
1254671869082558464	0
1255591901887180801	1
1280580281221754885	0
1282573658494509059	1
1277368392803065857	0
1255746815523258368	0
1256239220806557696	0
1263931344872144896	1
1249789241174953986	0
1254203775620976641	0
1291907558102491147	0
1284349366996738049	0
1257326301423308802	0
1245314523055247360	1
1281885777807499264	0
1269886279468056578	0
1260692720236052484	0
1279823705414213634	0
1249456306316103680	0
1252681863891746817	0
1269552363699830790	0
1267195029719863297	0
1246967489738813440	0
1250207505252265989	0
1249767489338322947	0
1288786610675425280	0
1276196546695106562	0
1262048013591207939	0
1270337002714673161	0
1252234961156882433	1
1269540491491782656	0
1250564818056118273	0
1256412541904998400	0
1264817186104913928	0
1263357908554833920	0
1258236465739431939	0
1255811141604868097	1
1269180698180583425	0
1289804106144473088	1
1280812793734840320	0
1279212816839385090	0
1249614109219397633	0
1264273607460610049	0
1264354436153040907	0
1256179515635781632	0
1288394840330428422	0
1292618940963860480	0
1253216898352844807	0
1265568545901105160	0
1254979680266080256	0
1257975545289211905	0
1247162541870067712	0
